FDID,INC #,EXP,Date,Time,District,INC Type,INC DESCREP,Address,City ,State,ZIP,Lat,Long
0,16-0001068,0,6/6/2016,18:18:34,J39,611,Dispatched & cancelled en route,"3106 70TH ST /Urbandale, IA 50322",Urbandale,IA,50322,0,0
0,16-0001034,0,6/4/2016,7:24:21,J39,352,Extrication of victim(s) from vehicle,"4600 NW 2ND ST /Des Moines, IA 50317",Des Moines,IA,50317,0,0
0,16-0001025,0,6/3/2016,19:20:16,J39,360,"Water & ice-related rescue, other","4586 NW 94TH AVE /Johnston, IA 50131",Johnston,IA,50131,0,0
0,16-0000829,0,5/7/2016,21:17:14,J39,365,Watercraft rescue,"4586 NW 94TH AVE /Ankeny, IA 50021",Ankeny,IA,50021,0,0
0,16-0000705,0,4/19/2016,9:21:57,J39,611,Dispatched & cancelled en route,"12100 NW 118th ST /Granger, IA 50109",Granger,IA,50109,0,0
0,16-0000602,0,4/3/2016,22:08:58,J39,611,Dispatched & cancelled en route,"6907 MARYLAND DR /Urbandale, IA 50322",Urbandale,IA,50322,0,0
0,16-0000533,0,3/25/2016,16:56:35,J39,142,Brush or brush-and-grass mixture fire,"6212 NE 14TH ST /Des Moines, IA 50313",Des Moines,IA,50313,0,0
0,16-0000262,0,2/4/2016,8:17:05,J39,611,Dispatched & cancelled en route,"130 I8035 WB /Urbandale, IA 50322",Urbandale,IA,50322,0,0
0,16-0000150,0,1/19/2016,15:47:38,J39,324,Motor Vehicle Accident with no injuries,"135.8 I8035 EB HWY /Saylorville, IA 5031",Saylorville,IA,50313,0,0
0,16-0000012,0,1/2/2016,23:54:05,J39,611,Dispatched & cancelled en route,"8631 HICKMAN RD /Urbandale, IA 50322",Urbandale,IA,50322,0,0
77010,16-0001245,0,6/29/2016,22:48:57,G40,322,Motor vehicle accident with injuries,SE 19TH ST & SE GRIMES BLVD,GRIMES,IA,50111,0,0
77010,16-0001243,0,6/29/2016,14:15:43,G37,321,"EMS call, excluding vehicle accident with injury",801 E 1ST ST,GRIMES,IA,50111,41.688902,-93.784305
77010,16-0001235,0,6/28/2016,7:40:12,G40,745,"Alarm system activation, no fire - unintentional",1120 SE 11TH ST,GRIMES,IA,50111,41.679194,-93.782262
77010,16-0001238,0,6/28/2016,17:42:26,G40,324,Motor Vehicle Accident with no injuries,4400-B SE GRIMES BLVD,GRIMES,IA,50111,0,0
77010,16-0001234,0,6/28/2016,5:38:09,G37,571,"Cover assignment, standby, moveup","5371 NW 66TH AVE /JOHNSTON, IA 50131",JOHNSTON,IA,50131,0,0
77010,16-0001241,0,6/28/2016,23:56:02,G37,321,"EMS call, excluding vehicle accident with injury","9600-B NW 121ST ST /JOHNSTON, IA 50131",JOHNSTON,IA,50131,0,0
77010,16-0001231,0,6/27/2016,15:03:52,G37,321,"EMS call, excluding vehicle accident with injury",200 SW BROOKSIDE DR /19,GRIMES,IA,50111,41.686256,-93.805938
77010,16-0001229,0,6/27/2016,4:48:46,G37,321,"EMS call, excluding vehicle accident with injury",617 NE 9TH ST,GRIMES,IA,50111,0,0
77010,16-0001227,0,6/26/2016,16:46:14,G40,733,Smoke detector activation due to malfunction,1000 SE 11TH ST,GRIMES,IA,50111,0,0
77010,16-0001221,0,6/26/2016,1:04:18,G37,730,"System malfunction, Other",251 SE GATEWAY CIR,GRIMES,IA,50111,0,0
77010,16-0001215,0,6/25/2016,15:21:17,G37,600,"Good intent call, Other",105 NW 8TH ST /104,GRIMES,IA,50111,41.694551,-93.794625
77010,16-0001212,0,6/25/2016,2:16:39,G40,321,"EMS call, excluding vehicle accident with injury",1900 SE 37TH ST,GRIMES,IA,50111,41.657683,-93.773503
77010,16-0001216,0,6/25/2016,17:08:47,G40,321,"EMS call, excluding vehicle accident with injury",2500 SE 37TH ST,GRIMES,IA,50111,0,0
77010,16-0001219,0,6/25/2016,23:23:19,G40,251,"Excessive heat, scorch burns with no ignition",2804 SE WEATHERSTONE ST,GRIMES,IA,50111,0,0
77010,16-0001225,0,6/25/2016,17:42:49,J39,311,"Medical assist, assist EMS crew","8051 NW 63RD CT /JOHNSTON, IA 50131",JOHNSTON,IA,50131,0,0
77010,16-0001207,0,6/24/2016,16:42:37,G37,311,"Medical assist, assist EMS crew",2009 NW SUNSET LN,GRIMES,IA,50111,0,0
77010,16-0001199,0,6/24/2016,12:59:29,J39,611,Dispatched & cancelled en route,"5921 WINWOOD DR /JOHNSTON, IA 50131",JOHNSTON,IA,50131,41.668974,-93.700338
77010,16-0001208,0,6/24/2016,16:34:49,J39,611,Dispatched & cancelled en route,"6100 NW 78TH AVE /JOHNSTON, IA 50131",JOHNSTON,IA,50131,0,0
77010,16-0001205,0,6/24/2016,15:05:52,J39,611,Dispatched & cancelled en route,"6109 MERLE HAY RD /JOHNSTON, IA 50131",JOHNSTON,IA,50131,41.671164,-93.695751
77010,16-0001210,0,6/24/2016,17:44:15,J39,611,Dispatched & cancelled en route,"6117 TERRACE DR /JOHNSTON, IA 50131",JOHNSTON,IA,50131,0,0
77010,16-0001211,0,6/24/2016,0:28:32,G37,311,"Medical assist, assist EMS crew","8026 NW 104TH CT /JOHNSTON, IA 50131",JOHNSTON,IA,50131,0,0
77010,16-0001201,0,6/24/2016,14:17:55,J39,611,Dispatched & cancelled en route,"8701 LYNDHURST DR /JOHNSTON, IA 50131",JOHNSTON,IA,50131,41.679787,-93.738565
77010,16-0001204,0,6/24/2016,14:37:41,J40,700,"False alarm or false call, Other","9517 WOODLAND DR /JOHNSTON, IA 50131",JOHNSTON,IA,50131,0,0
77010,16-0001194,0,6/23/2016,11:58:45,G37,321,"EMS call, excluding vehicle accident with injury",101 SE DESTINATION DR,GRIMES,IA,50111,41.687786,-93.768379
77010,16-0001196,0,6/23/2016,22:06:12,G37,321,"EMS call, excluding vehicle accident with injury",1265 SE 6TH ST /304,GRIMES,IA,50111,0,0
77010,16-0001193,0,6/23/2016,8:29:54,G37,321,"EMS call, excluding vehicle accident with injury",215 SW CREEKSIDE CT,GRIMES,IA,50111,0,0
77010,16-0001192,0,6/22/2016,22:27:20,G37,320,"Emergency medical service, other",200 SW BROOKSIDE DR /107,GRIMES,IA,50111,41.686256,-93.805938
77010,16-0001185,0,6/22/2016,11:40:19,G40,321,"EMS call, excluding vehicle accident with injury",4450 SE BEISSER DR,GRIMES,IA,50111,0,0
77010,16-0001191,0,6/22/2016,21:17:13,G40,321,"EMS call, excluding vehicle accident with injury",705 SE 16TH ST,GRIMES,IA,50111,0,0
77010,16-0001184,0,6/22/2016,6:36:19,J39,611,Dispatched & cancelled en route,"7305 NW 62ND AVE /JOHNSTON, IA 50131",JOHNSTON,IA,50131,0,0
77010,16-0001178,0,6/21/2016,18:18:54,G37,622,No Incident found on arrival at dispatch address,"NW 121ST ST & HWY 141 HWY /JOHNSTON, IA",JOHNSTON,IA,50131,0,0
77010,16-0001177,0,6/21/2016,12:21:03,G37,321,"EMS call, excluding vehicle accident with injury",504 NE 9TH ST,GRIMES,IA,50111,0,0
77010,16-0001180,0,6/21/2016,21:23:07,G37,321,"EMS call, excluding vehicle accident with injury",805 NW SUNSET LN,GRIMES,IA,50111,0,0
77010,16-0001175,0,6/20/2016,20:40:21,G37,381,Rescue or EMS standby,"131.5 I8035 EB HWY /JOHNSTON, IA 50131",JOHNSTON,IA,50131,0,0
77010,16-0001171,0,6/20/2016,18:22:33,G37,531,Smoke or odor removal,2170 E 1ST ST,GRIMES,IA,50111,41.688358,-93.775847
77010,16-0001170,0,6/20/2016,12:10:06,G40,321,"EMS call, excluding vehicle accident with injury",3500 SE MIEHE DR,GRIMES,IA,50111,41.65945,-93.767659
77010,16-0001172,0,6/20/2016,18:42:02,G37,321,"EMS call, excluding vehicle accident with injury",900 NW 8TH ST,GRIMES,IA,50111,0,0
77010,16-0001161,0,6/19/2016,0:30:37,G40,661,"EMS call, party transported by non-fire agency",1900 SE 37TH ST,GRIMES,IA,50111,41.657683,-93.773503
77010,16-0001169,0,6/19/2016,22:53:37,G40,321,"EMS call, excluding vehicle accident with injury",3010 SE VICTORY DR,GRIMES,IA,50111,0,0
77010,16-0001163,0,6/19/2016,9:30:28,G37,321,"EMS call, excluding vehicle accident with injury",317 SE JACOB ST /9B,GRIMES,IA,50111,0,0
77010,16-0001164,0,6/19/2016,9:30:28,G37,311,"Medical assist, assist EMS crew",317 SE JACOB ST /9B,GRIMES,IA,50111,0,0
77010,11-0001166,0,6/19/2016,11:08:37,J39,611,Dispatched & cancelled en route,"5905 NW 100TH ST /JOHNSTON, IA 50131",JOHNSTON,IA,50131,41.666757,-93.754299
77010,16-0001158,0,6/18/2016,13:12:51,G37,322,Motor vehicle accident with injuries,408 E 1ST ST,GRIMES,IA,50111,41.688041,-93.790224
77010,16-0001150,0,6/17/2016,18:28:44,G37,611,Dispatched & cancelled en route,"NW 53RD PL & 86TH ST /JOHNSTON, IA 50131",JOHNSTON,IA,50131,0,0
77010,16-0001152,0,6/17/2016,19:56:20,J40,611,Dispatched & cancelled en route,"NW 86TH ST & NW 62ND AVE /JOHNSTON, IA 5",JOHNSTON,IA,50131,0,0
77010,16-0001146,0,6/17/2016,7:54:54,G37,550,"Public service assistance, Other",1335 SE 6TH ST /102,GRIMES,IA,50111,0,0
77010,16-0001142,0,6/16/2016,13:19:20,G40,324,Motor Vehicle Accident with no injuries,SE 37TH ST & SE GRIMES BLVD,GRIMES,IA,50111,0,0
77010,16-0001139,0,6/16/2016,9:14:24,G40,324,Motor Vehicle Accident with no injuries,1880 SE PRINCETON DR,GRIMES,IA,50111,0,0
77010,16-0001137,0,6/15/2016,23:30:33,G37,321,"EMS call, excluding vehicle accident with injury",608 NE 4TH ST /8,GRIMES,IA,50111,0,0
77010,16-0001130,0,6/14/2016,14:32:05,G40,322,Motor vehicle accident with injuries,SE 28TH ST & SE GRIMES BLVD,GRIMES,IA,50111,0,0
77010,16-0001127,0,6/14/2016,9:02:47,G37,321,"EMS call, excluding vehicle accident with injury",200 SW BROOKSIDE DR /R1,GRIMES,IA,50111,41.686256,-93.805938
77010,16-0001129,0,6/14/2016,10:53:17,G40,321,"EMS call, excluding vehicle accident with injury",3000 SE COVENANT DR,GRIMES,IA,50111,0,0
77010,16-0001123,0,6/13/2016,19:58:42,G37,321,"EMS call, excluding vehicle accident with injury",2555 W 1ST ST,GRIMES,IA,50111,41.689898,-93.823042
